Feeder,DeviceID,Type,Rating,Description,Lat,Lon,Source
ALA01,ALA01WS-01,WS,600A,สถานีไฟฟ้าอ่าวลึก,8.42051,98.739841,gis
ALA01,ALA01WB-01,WB,600A,สถานีไฟฟ้าอ่าวลึก,8.420338,98.739666,gis
ALA01,ALA01F-10/01,WF,10K,นากุ้งนายแสง,8.302945,98.73471,gis
ALA01,ALA01F-12,WF,10K,บ่อกุ้งนายศักดิ์สยาม,8.303828,98.720421,gis
ALA01,ALA01WS-101,WS,600A,RiserPole หน้า สฟ.อ่าวลึก,8.420328,98.738998,gis
ALA01,ALA01WR-101,WR,560A,บ.บากัน,8.304653,98.778385,gis
ALA01,ALA01WF-101,WF,10K,โรงแรม PN,8.404265,98.741042,gis
ALA01,ALA01WS-102,WS,400A,ในยวนแขก,8.360096,98.753179,gis
ALA01,ALA01WF-102,WF,20K,,8.403841,98.739335,gis
ALA01,ALA01WS-103,WS,400A,ก่อนแยกบ้านบ้ากัน,8.307515,98.77761,gis
ALA01,ALA01WF-103,WF,10K,,8.403236,98.741399,gis
ALA01,ALA01WS-104,WS,600A,เข้าบ้านบากัน,8.304659,98.778417,gis
ALA01,ALA01WF-105,WF,10K,,8.40025,98.741729,gis
ALA01,ALA01WS-106,WS,400A,หลังแยกบ้านบากัน,8.296929,98.788809,gis
ALA01,ALA01WF-106,WF,50K,มนตรีรีสอร์ท,8.388369,98.741997,gis
ALA01,ALA01WS-107,WS,600A,,8.271306,98.803326,gis
ALA01,ALA01WF-107,WF,6K,บ้านถ้ำยวนทอง,8.366228,98.748927,gis
ALA01,ALA01WS-108,WS,400A,บ้านคลองหิน,8.270968,98.803456,gis
ALA01,ALA01WF-108,WF,10K,บ้านในยวนแขก,8.360633,98.752476,gis
ALA01,ALA01WF-108/1,WF,2K,รพ.สต.บ้านกลาง,8.339179,98.766635,gis
ALA01,ALA01WF-109,WF,10K,AIS,8.329948,98.770185,gis
ALA01,ALA01WF-110,WF,20K,,8.327794,98.770901,gis
ALA01,ALA01WF-111,WF,6K,บ.หนองจุด,8.324969,98.771497,gis
ALA01,ALA01WF-112,WF,10K,บ้านใสกล้วย,8.320851,98.772839,gis
ALA01,ALA01WF-113,WF,10K,บ.ปอเนาะนาแค,8.303705,98.772786,gis
ALA01,ALA01WF-114,WF,6K,ซ.ฟาร์มไก่นาแค,8.303845,98.768361,gis
ALA01,ALA01WF-115,WF,50K,อนามัยอ่าวลึกน้อย,8.29656,98.753449,gis
ALA01,ALA01WF-116,WF,10K,บ้านควนโอ,8.297227,98.750074,gis
ALA01,ALA01WF-117,WF,20K,,8.285257,98.744807,gis
ALA01,ALA01WF-118,WF,6K,บ้านควนโอ-ป่างาม,8.28309,98.743919,gis
ALA01,ALA01WF-119,WF,10K,,8.281696,98.746659,gis
ALA01,ALA01WF-120,WF,25K,ไร่ใหญ่,8.301473,98.745304,gis
ALA01,ALA01WF-121,WF,15K,บ้านนายาว,8.305136,98.745773,gis
ALA01,ALA01WF-122,WF,10K,บ.นาเหนืออ่าวลึกน้อย,8.30804,98.749149,gis
ALA01,ALA01WF-123,WF,6K,บ้านคีรีวงศ์,8.328336,98.745182,gis
ALA01,ALA01WF-124,WF,25K,บ้านบากันซอยโรงเรียน,8.30639,98.720577,gis
ALA01,ALA01WF-125,WF,10K,บ้านหนองปาป,8.298573,98.78668,gis
ALA01,ALA01WF-126,WF,10K,บ้านป่างาม,8.28924,98.793725,gis
ALA01,ALA01WF-127,WF,10K,บ.หินลับ,8.283455,98.797575,gis
ALA01,ALA01WF-128,WF,15K,บ้านหนองถ้ำ,8.276264,98.800921,gis
ALA01,ALA01WF-701,WF,10K,ฟาร์มกุ้ง,8.305803,98.740134,gis
ALA01,ALA01WF-702,WF,15K,โรงโม่หินอ่าวลึกน้อย,8.321336,98.744939,gis
ALA01,ALA01WF-703,WF,25K,,,,manual
