Feeder,Code,Route,CustomerAccount,Location,StationName,Lat,Lon
ALA01,KAUL,9803,020029119096,บ่อกุ้ง นายแสง ม.3 อ่าวลึกน้อย,กฟส.อ่าวลึก (S),8.302923332,98.734725631
ALA01,KAUL,9803,020022365341,บ่อกุ้ง นายดำรง  ถิ่นพังงา,กฟส.อ่าวลึก (S),8.305789547,98.719243124
ALA01,KAUL,9830,020016636099,-,กฟส.อ่าวลึก (S),8.300204262,98.720875758
ALA03,KWES,5555,081000028028,-,กฟส.ปลายพระยา (XS),8.583239021,98.933060923
ALA07,KPSG,5555,081000139001,SMRT_,กฟส.พระแสง (S),8.583480051,98.934163111
ALA02,KAUL,9029,020028153274,-,กฟส.อ่าวลึก (S),8.402217859,98.742161048
ALA06,KAUL,9029,020028201401,-,กฟส.อ่าวลึก (S),8.385013049,98.715034625
ALA07,KAUL,9801,020008698962,-,กฟส.อ่าวลึก (S),8.401418461,98.742268089
ALA02,KAUL,9029,020029449693,-,กฟส.อ่าวลึก (S),8.29703549,98.789614807
ALA02,KAUL,9029,020028511629,-,กฟส.อ่าวลึก (S),8.347598219,98.781165031
ALA03,KPPY,9029,020019676617,-,กฟส.ปลายพระยา (XS),8.466410123,98.79475184
ALA07,KPPY,9029,020019718217,-,กฟส.ปลายพระยา (XS),8.454266858,98.795724305
ALA03,KPPY,9802,020008820818,-,กฟส.ปลายพระยา (XS),8.578932092,98.919349788
ALA03,KAUL,9029,020008702756,-,กฟส.อ่าวลึก (S),8.414892249,98.75488221
ALA03,KPPY,9820,020008796699,,กฟส.ปลายพระยา (XS),8.588526445,98.918730316
ALA03,KPPY,9802,020022753277,โรงโม่ บีวีไมนิ่ง,กฟส.ปลายพระยา (XS),8.573303384,98.769270083
ALA03,KPPY,9029,020022678859,-,กฟส.ปลายพระยา (XS),8.573217331,98.769442535
ALA02,KAUL,9029,020024262326,-,กฟส.อ่าวลึก (S),8.355689287,98.782245624
ALA06,KAUL,9802,020008704932,,กฟส.อ่าวลึก (S),8.308180339,98.664782545
ALA06,KAUL,9028,020018689686,-,กฟส.อ่าวลึก (S),8.377435562,98.722326469
ALA02,KAUL,9029,020020507962,-,กฟส.อ่าวลึก (S),8.320365801,98.788761371
ALA03,KPPY,9802,082000039007,-,กฟส.ปลายพระยา (XS),8.578918455,98.919366385
ALA03,KPPY,9029,020028919164,-,กฟส.ปลายพระยา (XS),8.557515619,98.7963035
ALA02,KAUL,9029,020028875433,-,กฟส.อ่าวลึก (S),8.353843496,98.764694532
ALA03,KPPY,9029,020029024947,-,กฟส.ปลายพระยา (XS),8.645378422,98.846450086
