Feeder,Tag,Code,TransformerRef,TotalKVA,Phase,Location,Lat,Lon
ALA01,42PTKA000001418,1104201,0,0,7,บ่อกุ้ง นายแสง ม.3 อ่าวลึกน้อย,8.302923332,98.734725631
ALA01,42PTKA000004492,-,0,0,7,บ่อกุ้ง นายดำรง  ถิ่นพังงา,8.305789547,98.719243124
ALA01,42PTKA000035325,KAUL,2,1000,7,-,8.300204262,98.720875758
ALA03,42PTKA000047817,KWES,0,0,7,-,8.583239021,98.933060923
ALA07,42PTKA000056766,KPSG,0,0,7,SMRT_,8.583480051,98.934163111
ALA02,42PTKA000053257,KAUL,1,315,7,-,8.402217859,98.742161048
ALA06,42PTKA000053697,KAUL,1,315,7,-,8.385013049,98.715034625
ALA07,42PTKA000050557,KAUL,0,0,7,-,8.401418461,98.742268089
ALA02,42PTKA000063417,KAUL,1,315,7,-,8.29703549,98.789614807
ALA02,42PTKA000056557,KAUL,1,400,7,-,8.347598219,98.781165031
ALA03,42PTKA000048398,KPPY,1,500,7,-,8.466410123,98.79475184
ALA07,42PTKA000048397,KPPY,1,500,7,-,8.454266858,98.795724305
ALA03,42PTKA000030299,KPPY,0,0,7,-,8.578932092,98.919349788
ALA03,42PTKA000052657,KAUL,2,475,7,-,8.414892249,98.75488221
ALA03,4281PT000000104,KPPY,0,0,7,,8.588526445,98.918730316
ALA03,42PTKA000027349,KPPY,0,0,7,โรงโม่ บีวีไมนิ่ง,8.573303384,98.769270083
ALA03,42PTKA000028547,KPPY,0,0,7,-,8.573217331,98.769442535
ALA02,42PTKA000028374,KAUL,0,0,7,-,8.355689287,98.782245624
ALA06,4281PT000000197,1104201,0,0,7,,8.308180339,98.664782545
ALA06,42PTKA000035867,KAUL,1,315,7,-,8.377435562,98.722326469
ALA02,42PTKA000020827,KAUL,0,0,7,-,8.320365801,98.788761371
ALA03,42PTKA000030300,KPPY,0,0,7,-,8.578918455,98.919366385
ALA03,42PTKA000042937,KPPY,1000,1000,7,-,8.557515619,98.7963035
ALA03,42PTKA000021888,KPPY,1,630,7,-,8.512592414,98.847979275
ALA02,42PTKA000055417,KAUL,1,400,7,-,8.353843496,98.764694532
ALA03,42PTKA000062557,KPPY,1,400,7,-,8.645378422,98.846450086
ALA07,42PTKA000008438,-,2,750,7,-,8.532968637,98.865394207
ALA03,42PTKA000016076,KPPY,1,315,7,-,8.430331916,98.814466433
ALA07,42PTKA000028327,KAUL,0,0,7,-,8.435840836,98.77875419
ALA07,42PTKA000035243,KAUL,1,500,7,-,8.407635205,98.782638542
ALA02,42PTKA000033562,KAUL,2,1500,7,,8.339785856,98.885295973
ALA06,4281PT000000204,KAUL,0,0,7,บริษัท เอเชี่ยน,8.382229357,98.717147748
ALA06,42PTKA000002610,1104201,0,0,7,บจ.เอเชี่ยนปาล์ม,8.382168108,98.717066735
ALA09,42PTKA000048317,KPPY,1,1000,7,-,8.572297984,98.732915037
ALA09,42PTKA000049357,KAUL,0,0,7,-,8.525700068,98.719401292
ALA05,42PTKA000058139,KTPT,1,315,7,-,8.432899034,98.629964738
ALA05,42PTKA000058157,KTPT,1,500,7,-,8.400107071,98.636738511
ALA06,4281PT000000198,1104201,0,0,7,-,8.361576654,98.638080597
ALA02,4281PT000000202,1104201,0,0,7,-,8.338890284,98.767448772
ALA03,42PTKA000008996,KPPY,0,0,7,-,8.389022283,98.865902434
ALA02,42PTKA000035326,KAUL,1,500,7,-,8.350456787,98.78114433
ALA06,42PTKA000028330,KAUL,0,0,7,-,8.386112106,98.729504814
ALA09,4281PT000000145,KAUL,0,0,7,,8.524779499,98.7050589
ALA05,4282PT000000165,1105103,0,0,7,,8.414383068,98.63016901
ALA05,4282PT000000170,KTPT,0,0,7,,8.497334281,98.630325977
ALA05,4282PT000000172,1105103,0,0,7,,8.510471721,98.645658624
ALA05,4282PT000000173,KTPT,0,0,7,,8.50098556,98.649108976
ALA09,42PTKA000017058,-,0,0,7,-,8.514642505,98.695375106
ALA09,42PTKA000022406,KPPY,2,500,7,-,8.651060734,98.776265722
ALA05,42PTKA000023210,KPNG,0,0,7,-,8.507775131,98.667819437
ALA05,42PTKA000024754,KTPT,1,500,7,-,8.401030223,98.637178252
ALA05,42PTKA000024755,KTPT,1,800,7,-,8.42572538,98.630883644
ALA09,42PTKA000025227,KPPY,1,500,7,-,8.651744872,98.779594741
ALA09,42PTKA000028375,KAUL,1,630,7,-,8.514336802,98.699474299
ALA09,42PTKA000028548,KPPY,0,0,7,-,8.564732013,98.733630809
ALA05,42PTKA000028655,KAUL,0,0,7,-,8.48409661,98.690892489
ALA05,42PTKA000029385,KTPT,1,315,7,-,8.514835419,98.639244633
ALA09,42PTKA000030297,KAUL,0,0,7,-,8.514458602,98.694780556
ALA05,42PTKA000030824,KTPT,1,800,7,-,8.423829438,98.623112539
ALA05,42PTKA000031182,KTPT,1,500,7,-,8.418807241,98.640196756
ALA09,42PTKA000033762,KAUL,0,0,7,-,8.50729658,98.68864429
ALA09,42PTKA000034064,KAUL,0,0,7,-,8.514574236,98.694653859
ALA09,42PTKA000035927,KAUL,0,0,7,-,8.659927412,98.779542178
ALA05,42PTKA000039987,KAUL,0,0,7,-,8.507751381,98.668617893
ALA09,42PTKA000043377,KPPY,2,815,7,-,8.595685519,98.744524796
ALA09,42PTKA000048057,KPPY,1,1500,7,-,8.618444723,98.753648966
ALA02,42PTKA000018679,KAUL,0,0,7,-,8.351345102,98.781177422
ALA03,42PTKA000025228,KAUL,0,0,7,-,8.425156486,98.76553151
ALA06,4281PT000000203,KAUL,0,0,7,,8.368196526,98.727524958
ALA02,4281PT000000209,KAUL,0,0,7,,8.380993376,98.747326372
ALA06,42PTKA000008437,KAUL,0,0,7,-,8.328370478,98.67483372
ALA07,42PTKA000020828,KAUL,0,0,7,-,8.406233875,98.801678256
ALA02,42PTKA000039916,KAUL,1,1000,7,-,8.341868473,98.765491084
ALA01,42PTKA000030862,KAUL,4,2350,7,-,8.321383927,98.74487906
ALA07,42PTKA000048637,KPPY,1,500,7,-,8.504492146,98.889054268
ALA01,42PTKA000034282,KAUL,1,500,7,-,8.305810166,98.740102899
ALA03,4281PT000000103,KPPY,0,0,7,,8.450919987,98.785899894
ALA02,42PTKA000054127,KAUL,1,500,7,-,8.344496425,98.786113234
ALA01,42PTKA000054157,PEA1,0,0,7,-,8.420331969,98.739653543
ALA06,42PTKA000054160,PEA1,0,0,7,-,8.420323723,98.739673379
ALA03,42PTKA000054161,PEA1,0,0,7,-,8.420315838,98.739689599
ALA07,42PTKA000054162,PEA1,0,0,7,-,8.420309391,98.739706908
ALA02,42PTKA000054163,PEA1,0,0,7,-,8.420301858,98.739723137
