Feeder,TransformerID,RatedKVA,Phase,Location,CustomerType,Lat,Lon
ALA07,46-114687,250,7,DCC_6004834228,2.0,8.435515075,98.77996982
ALA09,49-013062,30,2,ประปาหมู่บ้านบางหอย ม.2,4.0,8.66075231,98.758282461
ALA05,56-010980,30,2,ม.1 ต.ทับปุด,4.0,8.506285171,98.629311778
ALA09,63-024080,30,2,DCC_,1.0,8.509664748,98.721773042
ALA05,61-000488,50,7,บ้านมะรุ่ย,1.0,8.467386409,98.652615475
ALA05,51-008604,30,4,DCC_ประปาหมู่บ้านทุ่งสาลิกา ม.2,4.0,8.487230054,98.689688767
ALA09,37-013234,30,4,DCC_,1.0,8.519246122,98.71157616
ALA05,65-033324,100,7,ม.4 ต.มะรุ่ย อ.ทัปุด จ.พังงา,4.0,8.474610485,98.651413909
ALA09,66-112227,250,7,บริษัท วานิช ออยล์ จำกัด,2.0,8.518877852,98.701218544
ALA09,42-003276,30,1,DCC_,1.0,8.520462932,98.692603593
ALA05,37-009829,50,2,DCC_หจก.มะรุ่ย,1.0,8.448771361,98.647848963
ALA09,38-014919,30,2,DCC_,1.0,8.507641703,98.710335192
ALA09,60-002927,30,1,DCC_ปป.บ้านควนสบาย,1.0,8.542233035,98.706290477
ALA05,64-020663,160,7,ม.6 ต.ทับปุด,2.0,8.508826396,98.648758648
ALA09,65-031911,30,2,ไฟสาธารณะ,4.0,8.584651178,98.742036114
ALA09,66-014216,30,2,บ.บางแห้ง ม.2 ต.เขาต่อ อ.ปลายพระยา จ.กระบี่,1.0,8.655516965,98.757844161
ALA09,58-011573,160,7,ร.ร.อนุบาลบางเท่าแม่,4.0,8.613723712,98.752369379
ALA05,68-115049,30,4,ม.6 ต.มะรุ่ย อ.ทับปุด จ.พังงา,4.0,8.448419231,98.638201869
ALA09,61-107585,1000,7,โรงยางมะตอย,3.0,8.564705595,98.733202969
ALA09,60-005251,50,7,รพ.สต.บ้านเขาต่อ,4.0,8.570491944,98.740541627
ALA09,40-113571,50,1,สถานีโทรคมนาคมกรมช่างทหารอากาศบ้านทุ่งสูง,4.0,8.500566656,98.700500351
ALA05,66-007957,30,2,ทุ่งสาริกา,1.0,8.483140462,98.688474402
ALA09,48-007447,30,1,บ.ควนสบาย,1.0,8.553979004,98.703787026
ALA05,36-014697,160,7,DCC_,1.0,8.434960676,98.648334402
ALA09,62-104706,100,7,สนง.ก่อสร้างทางหลวง เขาต่อ-พนมม.2 ต.เขาต่อ,4.0,8.63934811,98.772299589
ALA05,49-116651,30,4,บริษัท.แอควานซ์.อินโฟร์.เซอร์วิส.สถานีอ่าวมะขาม,2.0,8.418508044,98.63986094
ALA05,55-115181,100,7,ฟาร์มกุ้งนายทรงศักดิ์ กะสิรักษ์,2.0,8.401431706,98.637958262
ALA01,40-000198,160,7,การปิโตรเลียมแห่งประเทศไทย ม.2 ต.อ่าวลึกเหนือ,2.0,8.380326069,98.741404537
ALA06,61-109117,2500,7,บมจ.ยูนิวานิช อ่าวลึก,3.0,8.385259766,98.729936025
ALA01,54-113849,500,7,ฟาร์มกุ้ง นายพิเชษฐ สุขุประการ,2.0,8.306031522,98.740072903
ALA06,49-114184,1250,7,บมจ.เอเชียนน้ำมันปาล์ม,2.0,8.381539218,98.716438318
ALA09,58-006180,30,1,บ้านหินดาน,2.0,8.46387728,98.737462812
